year,skills,newCodeA,tenure,type,group,weight,A1age,A1age2,A1age3,A1cons
1995,1,7,1,1,1,81.99691,-.0254524,.0005684,-4.30e-06,.4106186
1995,1,7,2,1,1,58.32996,-.0585489,.0014314,-.0000115,.8120806
1995,1,7,3,1,1,52.51005,-.0054733,.0001629,-1.56e-06,.0908079
1995,1,7,4,1,1,32.77667,-.0309655,.0007647,-6.01e-06,.4257184
1995,1,7,5,1,1,71.84415,-.0725245,.0018299,-.0000147,.9398333
1995,1,7,0,2,2,1177.453,-.0148636,.0003139,-2.33e-06,.2697346
1995,1,7,1,2,2,918.0031,-.0272285,.0005954,-4.38e-06,.4418337
1995,1,7,2,2,2,541.67,-.0353675,.0008082,-6.09e-06,.5356692
1995,1,7,3,2,2,725.49,-.0405402,.0009487,-7.31e-06,.5967848
1995,1,7,4,2,2,195.2233,-.122275,.0028953,-.0000223,1.698611
1995,1,7,5,2,2,1084.156,-.0514931,.0013083,-.0000107,.6769766
1995,2,7,0,1,3,462.0069,-.0045619,.0000888,-7.88e-07,.1230444
1995,2,7,1,1,3,442.9012,-.0144832,.000368,-3.18e-06,.2263566
1995,2,7,2,1,3,323.2048,-.0101029,.000264,-2.34e-06,.1639976
1995,2,7,3,1,3,353.0693,-.0135048,.0003368,-2.88e-06,.2174951
1995,2,7,4,1,3,368.0886,-.0255615,.0006062,-4.85e-06,.39263
1995,2,7,5,1,3,888.0783,-.0024082,.0000963,-1.11e-06,.0470201
1995,2,7,0,2,4,2465.993,-.0101514,.0002333,-1.96e-06,.1900135
1995,2,7,1,2,4,2517.099,-.01831,.0004179,-3.28e-06,.3031851
1995,2,7,2,2,4,1967.795,-.0234545,.0005644,-4.57e-06,.3577416
1995,2,7,3,2,4,3479.931,-.0103453,.0002254,-1.79e-06,.197884
1995,2,7,4,2,4,2514.911,-.0144085,.0003349,-2.69e-06,.2429765
1995,2,7,5,2,4,16221.92,.0011858,.0000535,-1.08e-06,-.0268077
1995,1,8,0,1,1,140.2018,.0232348,-.0006337,5.21e-06,-.2167963
1995,1,8,1,1,1,127.8035,-.0349815,.0007916,-6.02e-06,.5440109
1995,1,8,2,1,1,44.67213,.0167677,-.0004191,3.20e-06,-.1713104
1995,1,8,3,1,1,99.03673,-.0063931,.0001459,-1.17e-06,.1270044
1995,1,8,4,1,1,36.08705,-.028122,.000784,-6.80e-06,.3378598
1995,1,8,5,1,1,107.5895,-.0322341,.000923,-8.02e-06,.3581413
1995,1,8,0,2,2,1347.798,-.0132149,.0002621,-1.83e-06,.2541918
1995,1,8,1,2,2,1194.196,-.0288974,.0006372,-4.70e-06,.4623737
1995,1,8,2,2,2,915.3279,-.0339061,.0008026,-6.27e-06,.500503
1995,1,8,3,2,2,1347.963,-.0254011,.0006033,-4.64e-06,.374044
1995,1,8,4,2,2,228.913,-.0473655,.0012275,-.0000101,.6085082
1995,1,8,5,2,2,1965.41,-.0462565,.0012368,-.0000103,.5621042
