sample	newcode	beta1	beta2	beta3	beta4	beta5	beta6	beta7	beta8	beta9	sigma
42	33	.036956001	-.021474	.046218	-.00046179999	0	0	0	0	-.45449001	.19188
43	33	.037436999	-.019423001	.047913998	-.00047500001	0	0	0	0	-.45792001	.19087
44	33	.036649	-.022148	.046526998	-.00046720001	0	0	0	0	-.46158999	.18798999
45	33	.037590001	-.021300999	.045329999	-.0004512	0	0	0	0	-.45618999	.19072001
46	33	.035519	-.018906999	.048085	-.000482	0	0	0	0	-.47336999	.1886
47	33	.038089	-.020536	.045995001	-.00045789999	0	0	0	0	-.44339001	.1883
48	33	.036479998	-.017515	.040006001	-.0003936	0	0	0	0	-.45658001	.1895
49	33	.036127001	-.019145001	.044622	-.00044629999	0	0	0	0	-.44385001	.19191
50	33	.035581	-.018301001	.047906	-.0004782	0	0	0	0	-.46301001	.1913
51	33	.035105001	-.019955	.050136998	-.00050570001	0	0	0	0	-.45795	.18898
52	33	.036368001	-.020183999	.048787002	-.00048409999	0	0	0	0	-.46329001	.19018
53	33	.036109999	-.018359	.044688001	-.0004401	0	0	0	0	-.44909	.1865
54	33	.037996002	-.020298	.045820002	-.00045640001	0	0	0	0	-.44938001	.19039001
55	33	.03706	-.018901	.043288	-.00042900001	0	0	0	0	-.45749	.19080999
56	33	.038027	-.022723	.050700001	-.00050969998	0	0	0	0	-.45431	.19197001
57	33	.037312001	-.019469	.043598998	-.0004315	0	0	0	0	-.45287001	.18994001
58	33	.034612	-.017357999	.045492001	-.00045210001	0	0	0	0	-.44536	.19278
59	33	.036472	-.021152001	.048679002	-.00049010001	0	0	0	0	-.45655	.192
60	33	.037496001	-.018646	.043405	-.0004324	0	0	0	0	-.45763999	.19042
61	33	.037459001	-.018967001	.045906	-.0004593	0	0	0	0	-.45197999	.18875
62	33	.038366999	-.021968	.044643998	-.0004468	0	0	0	0	-.45399001	.19
63	33	.035622999	-.018367	.045263998	-.0004509	0	0	0	0	-.45276999	.19098
64	33	.036963001	-.021747001	.048879001	-.00048700001	0	0	0	0	-.46171999	.19132
65	33	.039058	-.022677001	.046700999	-.0004666	0	0	0	0	-.45141	.18934
66	33	.037374999	-.020687999	.049095999	-.00049319997	0	0	0	0	-.45207	.19072001
67	33	.037790999	-.019927001	.045428	-.0004516	0	0	0	0	-.44564	.19157
68	33	.036869999	-.021182001	.045201998	-.00044910001	0	0	0	0	-.45884001	.19009
69	33	.036375999	-.019777	.044326998	-.00043779999	0	0	0	0	-.45278001	.18912999
70	33	.036428001	-.020400999	.046558999	-.00045990001	0	0	0	0	-.45457	.18909
71	33	.036548998	-.020195	.043736	-.00043009999	0	0	0	0	-.45517999	.19097
72	33	.035023998	-.017258	.045037001	-.00044790001	0	0	0	0	-.46287	.19033
73	33	.035767	-.019594001	.042541001	-.0004171	0	0	0	0	-.45550001	.19193999
74	33	.036843002	-.020888001	.046952002	-.00046879999	0	0	0	0	-.46226001	.19097
75	33	.035817999	-.019597	.044126	-.0004389	0	0	0	0	-.45342001	.18881001
76	33	.035459001	-.019126	.043535002	-.00043089999	0	0	0	0	-.46472999	.19022
77	33	.036261	-.01839	.048641998	-.00049090001	0	0	0	0	-.45716	.19248
78	33	.036672998	-.020955	.044151999	-.00043019999	0	0	0	0	-.45157	.18993001
79	33	.037560999	-.019602999	.046443999	-.00046439999	0	0	0	0	-.44338	.19164
80	33	.037227001	-.020377999	.044877	-.00044539999	0	0	0	0	-.46208	.18919
81	33	.035220001	-.019213	.045416001	-.0004466	0	0	0	0	-.45844999	.18952
82	33	.038017999	-.020672999	.045286998	-.0004512	0	0	0	0	-.45396999	.18939
83	33	.034731999	-.018793	.044436	-.00044259999	0	0	0	0	-.46219999	.1908
84	33	.036371	-.019696999	.046767998	-.00046879999	0	0	0	0	-.46009001	.19114999
85	33	.037342999	-.021787001	.050163999	-.00050820003	0	0	0	0	-.4589	.19014999
86	33	.036872	-.018577	.044661999	-.00044249999	0	0	0	0	-.45919999	.19385
87	33	.036591999	-.019624	.047520999	-.00047279999	0	0	0	0	-.45857999	.18945999
88	33	.036240999	-.022063	.047354002	-.00047520001	0	0	0	0	-.45434001	.19023
89	33	.035723001	-.019195	.044562001	-.0004428	0	0	0	0	-.46301001	.19117001
90	33	.037110001	-.020964	.043915	-.00043290001	0	0	0	0	-.44415	.18889
91	33	.037046	-.021139	.045782998	-.00045349999	0	0	0	0	-.4531	.18884
92	33	.036586002	-.019032	.049763002	-.00050169998	0	0	0	0	-.44554001	.19007
93	33	.036339	-.022691	.045311	-.0004466	0	0	0	0	-.46419999	.19074
94	33	.036414001	-.018112	.044581	-.00044619999	0	0	0	0	-.454	.18944
95	33	.037408002	-.018585	.044840001	-.00044460001	0	0	0	0	-.44683999	.19182999
96	33	.034136999	-.018158	.048278	-.0004817	0	0	0	0	-.45728001	.18945999
97	33	.036091	-.018588001	.046247002	-.0004665	0	0	0	0	-.45536	.19238
98	33	.036403999	-.020532001	.045857001	-.00046139999	0	0	0	0	-.44854	.19255
