sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
98	38	-1.5233999	-1.5195	-1.5005	-1.5121	-1.5267	-1.5301	-1.5118001	-1.5096999	-1.4947	-1.4631	-1.4452	-1.413
97	1	-.82138997	-.83486998	-.83824003	-.82064998	-.83295	-.82661003	-.80631	-.79141003	-.80391997	-.79483998	-.78824002	-.78627998
97	2	-.42275	-.41924	-.41672	-.39761999	-.41997999	-.38428	-.3784	-.37940001	-.40163001	-.38879001	-.39335999	-.37850001
97	3	-.85828	-.87440997	-.84893	-.83168	-.83854997	-.82498997	-.81177998	-.80168003	-.83902001	-.82116997	-.82862997	-.80039001
97	4	-.88850999	-.92361999	-.90367001	-.89049	-.89393002	-.88036001	-.87421	-.86616999	-.91289997	-.89577001	-.90785003	-.87322003
97	5	-1.2574	-1.2745	-1.2363	-1.2296	-1.2305	-1.2089	-1.1906	-1.1847	-1.2232	-1.1896	-1.1935	-1.1536
97	6	-.87725002	-.84114999	-.82444	-.82248998	-.80120999	-.80263001	-.79141998	-.79934001	-.77798998	-.77504998	-.75040001	-.70078999
97	7	-1.2028	-1.1819	-1.1683	-1.1308	-1.133	-1.1374	-1.1459	-1.1651	-1.1533999	-1.1255	-1.1099	-1.0653
97	8	-.89327002	-.89837003	-.89459997	-.88676	-.88499999	-.87006003	-.86896002	-.87216002	-.87910002	-.85935998	-.85506999	-.81054002
97	9	-1.2165999	-1.2247	-1.2294	-1.2214	-1.223	-1.2416	-1.2539001	-1.2510999	-1.2494	-1.2494	-1.2672	-1.2219
97	10	-1.133	-1.1547	-1.1353	-1.1471	-1.1655	-1.1802	-1.1665	-1.1472	-1.1556	-1.1546	-1.1553	-1.1191
97	11	-.98237002	-.97591001	-.97733003	-.98001999	-.98567998	-.98888999	-.97575998	-.97415	-.97209001	-.98404998	-.98711002	-.94808
97	12	-.80128998	-.78683001	-.79418999	-.78087997	-.79411	-.79969001	-.78153998	-.76907998	-.76441997	-.76700002	-.76547003	-.71324003
97	13	-1.054	-1.0243	-1.0343	-1.0282	-1.0379	-1.0364	-1.0378	-1.0501	-1.0421	-1.0215	-1.0075999	-.96599001
97	14	-1.0093	-.99847001	-.99287999	-.99466997	-1.0036	-1.0079	-.97944999	-.96166003	-.98948002	-.97279	-.97255999	-.94733
97	15	-.87819999	-.87199998	-.85215002	-.82844001	-.8326	-.82862002	-.81098002	-.84999001	-.82573003	-.82883	-.82814002	-.80441999
97	16	-1.3735	-1.3645	-1.3512	-1.3289	-1.3389	-1.3248	-1.314	-1.309	-1.2968	-1.3091	-1.2681	-1.243
97	17	-.82248002	-.82374001	-.78991997	-.78038001	-.79536998	-.77226001	-.75566	-.77148998	-.77993	-.77958	-.78639001	-.76568002
97	18	-1.0941	-1.098	-1.0757999	-1.0761	-1.0797	-1.0753	-1.0716	-1.0825	-1.0992	-1.0923001	-1.0714	-1.0476
97	19	-1.3777	-1.3715	-1.3515	-1.3396	-1.3356	-1.3279001	-1.2884001	-1.2964	-1.3036	-1.2991	-1.2629	-1.2395999
