,edu,exp,id,mar,offer,owage,time,work
354,2,3,70,1,0,-inf,4,0
355,2,0,71,1,1,131638.66808596216,0,1
356,2,1,71,1,1,11044.127644697486,1,0
357,2,1,71,1,0,4434.977065277661,2,0
358,2,1,71,1,0,27813.263675148777,3,0
359,2,1,71,1,0,-inf,4,0
360,2,0,72,1,0,14909.706139959822,0,0
361,2,0,72,1,0,84345.87381927248,1,0
362,2,0,72,1,1,63177.41986668519,2,1
363,2,1,72,1,1,28296.552070658552,3,1
364,2,2,72,1,0,-inf,4,0
365,2,0,73,1,1,40090.18651128664,0,1
366,2,1,73,1,1,6342.151757089416,1,0
367,2,1,73,1,0,70817.77097707924,2,0
368,2,1,73,1,0,137865.6575457961,3,0
369,2,1,73,1,0,-inf,4,0
370,2,0,74,1,0,23544.23528289584,0,0
371,2,0,74,1,0,42933.31691265795,1,0
372,2,0,74,1,1,4824.157147340035,2,0
373,2,0,74,1,0,72831.90581905388,3,0
374,2,0,74,1,0,-inf,4,0
375,2,0,75,1,1,60014.151310924295,0,1
376,2,1,75,1,1,64478.865020360994,1,0
377,2,1,75,1,0,47303.75488687046,2,0
378,2,1,75,1,0,13842.5807468634,3,0
379,2,1,75,1,0,-inf,4,0
380,2,0,76,1,0,367553.10772972374,0,0
381,2,0,76,1,0,48237.431696209525,1,0
382,2,0,76,1,1,3064.252765602404,2,0
383,2,0,76,1,0,36259.71146243559,3,0
384,2,0,76,1,0,-inf,4,0
385,2,0,77,1,0,90550.98598938751,0,0
386,2,0,77,1,1,64108.43028066276,1,1
387,2,1,77,1,1,14234.276327157591,2,0
388,2,1,77,1,1,249980.17229479313,3,1
389,2,2,77,1,0,-inf,4,0
390,2,0,78,1,0,27907.00270252699,0,0
391,2,0,78,1,1,17799.788009369273,1,0
392,2,0,78,1,0,119953.34073965494,2,0
393,2,0,78,1,1,26051.878691983664,3,0
394,2,0,78,1,0,-inf,4,0
395,2,0,79,1,0,365738.2235538673,0,0
396,2,0,79,1,1,19523.50722736487,1,1
397,2,1,79,1,1,428038.66306698066,2,1
398,2,2,79,1,1,132138.61287848177,3,0
399,2,2,79,1,0,-inf,4,0
400,0,0,80,0,0,151413.63386958942,0,0
401,0,0,80,0,1,257358.7371028309,1,1
402,0,1,80,0,1,58291.402246650454,2,1
403,0,2,80,0,1,47274.38916679895,3,0
404,0,2,80,0,0,-inf,4,0
405,0,0,81,0,1,33581.87520775275,0,1
406,0,1,81,0,1,11000.477613215737,1,1
407,0,2,81,0,1,30548.30585403468,2,1
408,0,3,81,0,1,14829.8212334098,3,1
409,0,4,81,0,0,-inf,4,0
410,0,0,82,0,1,5926.026001621647,0,0
411,0,0,82,0,0,11137.118760727208,1,0
412,0,0,82,0,1,71961.84529792587,2,1
413,0,1,82,0,1,38241.93143861572,3,0
414,0,1,82,0,0,-inf,4,0
415,0,0,83,0,1,65628.17000227312,0,1
416,0,1,83,0,1,3885.7312558143017,1,0
417,0,1,83,0,1,33672.0444627868,2,1
418,0,2,83,0,1,8924.757551162069,3,0
419,0,2,83,0,0,-inf,4,0
420,0,0,84,0,0,12796.582498491354,0,0
421,0,0,84,0,0,23101.563819877716,1,0
422,0,0,84,0,0,10003.001684100613,2,0
423,0,0,84,0,1,59413.28787042278,3,1
424,0,1,84,0,0,-inf,4,0
425,0,0,85,0,1,87127.55104371396,0,1
426,0,1,85,0,1,41277.673605107775,1,1
