sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
98	34	-1.579	-1.5764	-1.5671	-1.5688	-1.5662	-1.553	-1.5506001	-1.5384001	-1.5192	-1.4999	-1.488	-1.474
98	35	-1.1612	-1.1451	-1.1194	-1.1128	-1.1113	-1.1141	-1.0914	-1.0882	-1.0676	-1.0632	-1.054	-1.0387
98	36	-1.2373	-1.2236	-1.193	-1.1964	-1.1903	-1.1871001	-1.1744	-1.1664	-1.1497999	-1.1497	-1.1411999	-1.1263
98	37	-1.7375	-1.7452	-1.7235	-1.7388	-1.7381001	-1.7387	-1.693	-1.6761	-1.6715	-1.6213	-1.5875	-1.5575
98	38	-1.4788001	-1.4765	-1.4589	-1.4727	-1.4869	-1.4905	-1.4716001	-1.4694	-1.454	-1.4207	-1.4021	-1.3693
97	1	-.69669002	-.71328002	-.71583998	-.69713998	-.71016997	-.70855999	-.69155997	-.67807001	-.69244999	-.67921001	-.67249	-.67466003
97	2	-.50309998	-.50032002	-.49691999	-.47523999	-.49753001	-.46489999	-.45954001	-.46362001	-.48690999	-.47165	-.47446999	-.45896
97	3	-.83192003	-.84833002	-.82612997	-.80588001	-.81485999	-.80369002	-.78920001	-.77894998	-.81427002	-.79443002	-.80267	-.7748
97	4	-.95106	-.99357998	-.98187	-.97169	-.97613001	-.96486998	-.95730001	-.94703001	-.99261999	-.97400999	-.98605001	-.95153999
97	5	-1.3272001	-1.3494999	-1.3184	-1.3103	-1.3117	-1.2933	-1.2719001	-1.2639	-1.2982	-1.2615	-1.2675	-1.2323
97	6	-.91368997	-.88330001	-.85968	-.85158998	-.83695	-.83578998	-.83194	-.83787	-.81492001	-.80583	-.79398	-.73728001
97	7	-1.1131999	-1.0907	-1.0745	-1.0395	-1.0386	-1.0417	-1.0496	-1.0685	-1.0563999	-1.0289	-1.0148	-.97170001
97	8	-.83583999	-.84202999	-.83933002	-.82892001	-.82843	-.81278002	-.81132001	-.81404001	-.82116002	-.79758	-.79387999	-.75156999
97	9	-1.0930001	-1.1043	-1.1099	-1.0997	-1.1021	-1.1192	-1.1307	-1.1244	-1.1239001	-1.1252	-1.1425	-1.1008
97	10	-1.1055	-1.1339	-1.1188999	-1.1317	-1.1496	-1.164	-1.1471	-1.1301	-1.1363	-1.1331	-1.1357	-1.0984
97	11	-.91895998	-.91689998	-.91900998	-.92082	-.92664999	-.92978001	-.91604	-.91369998	-.91025001	-.92036003	-.92686999	-.89089
97	12	-.68585998	-.67236	-.68031001	-.66882002	-.68576998	-.69362998	-.67456001	-.66185999	-.65749002	-.65842003	-.65717	-.60917002
97	13	-.96844	-.94125003	-.95467001	-.94689	-.95791	-.95828003	-.95684999	-.97103	-.96160001	-.94015998	-.92834002	-.88765001
97	14	-.78274	-.76999998	-.77122003	-.77111	-.78407001	-.78731	-.75893998	-.74447	-.77367002	-.74730003	-.74602997	-.72768998
97	15	-.83552003	-.82419997	-.80227	-.77736998	-.78252	-.78088999	-.76103997	-.79843003	-.77916002	-.77454001	-.77942002	-.75692999
97	16	-1.3662	-1.3516001	-1.3349	-1.312	-1.324	-1.3124	-1.3042001	-1.3002	-1.2869	-1.2974	-1.2524	-1.2279
97	17	-.84140003	-.83745998	-.80506003	-.78447002	-.80584002	-.78534001	-.76086003	-.77855998	-.79008001	-.78742999	-.79767001	-.78007001
97	18	-1.022	-1.0285	-1.0063	-1.0073	-1.0107	-1.0032001	-.99935001	-1.0101	-1.025	-1.0174	-.99642003	-.97521001
97	19	-1.3344001	-1.3268	-1.3095	-1.2965	-1.2918	-1.2848001	-1.2431999	-1.248	-1.2515	-1.2253	-1.194	-1.177
97	20	-1.8564	-1.8457	-1.845	-1.8237	-1.8558	-1.8444999	-1.822	-1.8333	-1.8325	-1.8144	-1.8252	-1.8151
97	21	-1.8815	-1.8895	-1.8755	-1.8516999	-1.86	-1.8695	-1.8557	-1.8628	-1.8724	-1.8579	-1.8557	-1.8396
97	22	-.81378001	-.80353999	-.79913002	-.79446	-.79984999	-.80110002	-.79966003	-.80128002	-.81224	-.80413997	-.79115999	-.75098997
97	23	-.97898	-.98321003	-1.0015	-.95317	-.98311001	-.97605002	-.97874999	-.96600997	-.96315998	-.97127998	-.97162998	-.94046998
97	24	-1.9993	-1.9712	-1.9555	-1.9491	-1.9416	-1.943	-1.9208	-1.9082	-1.8995	-1.8987	-1.8709	-1.8367
97	25	-1.3139	-1.3232	-1.3432	-1.3256	-1.3480999	-1.3667001	-1.3738	-1.3694	-1.3888	-1.3644	-1.3760999	-1.3104
97	26	-.81414002	-.83408999	-.80137002	-.78819001	-.81945997	-.82339001	-.78823	-.76446998	-.75103998	-.72832	-.72152001	-.71324998
97	27	-.61781001	-.60790002	-.60562003	-.59246999	-.60558999	-.59173	-.56158	-.56577998	-.58881998	-.59250998	-.60764998	-.58819997
97	28	-1.373	-1.4323	-1.4414999	-1.4672	-1.4836	-1.4864	-1.4531	-1.4647	-1.5092	-1.556	-1.4921	-1.4413
97	29	-1.0524	-1.0445	-1.0173	-.99286997	-.99918997	-.96305001	-.921	-.91815001	-.92260998	-.93096	-.94165999	-.91106999
97	30	-.84829998	-.89488	-.87803	-.88415003	-.89402997	-.88631999	-.86093003	-.80207002	-.85510999	-.85759997	-.86759001	-.84034997
97	31	-1.5407	-1.5983	-1.5816	-1.5863	-1.5980999	-1.5987999	-1.5645	-1.4761	-1.54	-1.5470001	-1.5321	-1.53
97	32	-1.0252	-1.0674	-1.0455	-1.0339	-1.0397	-1.0378	-1.0122	-.98154002	-1.0181	-.99273998	-.99270999	-1.0136
97	33	-.85056001	-.83341998	-.80453998	-.79852003	-.79619002	-.79663002	-.75953001	-.75303	-.73373002	-.72355998	-.72935998	-.70924997
97	34	-1.5919	-1.59	-1.5816	-1.5833	-1.5801001	-1.5707	-1.5622	-1.5542001	-1.5338	-1.5146	-1.5022	-1.4869
97	35	-1.1589	-1.1428	-1.119	-1.1083	-1.1078	-1.1102	-1.0881	-1.0825	-1.0669	-1.0583	-1.0489	-1.0368
97	36	-1.2018	-1.1862	-1.1582	-1.1626	-1.1612	-1.1579	-1.1427	-1.1399	-1.12	-1.122	-1.1137	-1.0977
97	37	-1.7553	-1.7635	-1.7433	-1.7609	-1.7544	-1.7516	-1.7187001	-1.693	-1.6909	-1.6466	-1.6160001	-1.5743001
97	38	-1.4794	-1.4812	-1.4621	-1.4748	-1.4866	-1.4924001	-1.4716001	-1.4705	-1.4561	-1.4213001	-1.4026	-1.368
96	1	-.59386998	-.62001997	-.62081999	-.59591001	-.61802	-.62075001	-.60504001	-.58684999	-.58301997	-.57218999	-.57371002	-.5686
96	2	-.47778001	-.48936	-.47674999	-.46013999	-.47407001	-.45052999	-.43408	-.43765	-.47009	-.45017001	-.45570999	-.42491999
96	3	-.80642998	-.83209997	-.80791003	-.78191	-.79088002	-.78025001	-.76696998	-.75857002	-.79180998	-.77333999	-.77916998	-.75386
96	4	-.93602002	-.97302002	-.95467001	-.95371997	-.95699	-.95043999	-.94136	-.92400998	-.97472	-.95587999	-.96267998	-.93456
